tconst;averageRating;numVotes;Title;startYear;runtimeMinutes;genres;director
tt1900891;6.1;1759;Haunters;2010;119;Action,Sci-Fi,Thriller;Min-suk Kim
tt4201990;6.6;1039;Haunters: The Art of the Scare;2017;88;Documentary,Horror;Jon Schnitzer
tt3463938;4.2;1312;Haunting of the Queen Mary;2023;125;Drama,Horror,Mystery;
tt6089358;3.8;1158;Haunting on Fraternity Row;2018;99;Horror,Mystery,Thriller;Brant Sersen
tt11610804;6.2;1024;Haute Couture;2021;100;Comedy,Drama;Sylvie Ohayon
tt2094877;6.4;6718;Haute Cuisine;2012;95;Biography,Comedy;Christian Vincent
tt0126938;6.2;1105;Hav Plenty;1998;92;Comedy,Romance;Christopher Scott Cherot
tt0099747;6.1;8373;Havana;1990;144;Drama,Romance,War;Sydney Pollack
tt12133722;6.8;8391;Have a Good Trip;2020;85;Comedy,Documentary;Donick Cary
tt6451304;6.5;2163;Have a Nice Day;2017;77;Animation,Comedy,Crime;Jian Liu
tt0446707;5.5;1493;Have Mercy on Us All;2007;116;Crime,Drama,Thriller;Régis Wargnier
tt13317694;6.2;5374;Have You Ever Seen Fireflies?;2021;113;Comedy,Drama;Andaç Haznedaroglu
tt0386504;5.7;6817;Haven;2004;115;Crime,Drama;Frank E. Flowers
tt3424690;4.8;4117;Havenhurst;2016;85;Horror,Mystery,Thriller;Andrew C. Erin
tt0285175;5.5;19914;Havoc;2005;85;Crime,Drama;Barbara Kopple
tt0059855;8.1;2282;Havoc in Heaven;1961;114;Action,Adventure,Animation;
tt10928202;7.7;5973;Hawa;2022;131;Drama,Mystery;Mejbaur Rahman Sumon
tt3501994;7.3;1817;Hawaa Hawaai;2014;120;Drama,Family,Sport;Amole Gupte
tt0060491;6.5;3445;Hawaii;1966;189;Drama;
tt2801746;7.2;5526;Hawaii;2013;102;Drama,Romance;Marco Berger
tt5566714;7.5;1402;Hawaii;2017;116;Drama;Jesús del Cerro
tt0427339;7;4840;Hawaii, Oslo;2004;125;Drama;Erik Poppe
tt4338154;5.5;2067;Hawaizaada;2015;148;Biography,Drama;Vibhu Puri
tt0080846;5.3;3924;Hawk the Slayer;1980;90;Adventure,Fantasy;Terry Marcel
tt2830416;7.3;1700;Hawking;2013;86;Biography,Comedy,Documentary;Stephen Finnigan
tt0097487;6.7;1187;Hawks;1988;110;Comedy,Drama;Robert Ellis Miller
tt0013257;7.6;15810;Häxan;1922;91;Documentary,Fantasy,Horror;Benjamin Christensen
tt4234740;4.7;1279;Hayalet Dayi;2015;98;Comedy,Fantasy;Ali Yorgancioglu
tt5036442;5.9;1344;Hayat Öpücügü;2015;102;Comedy,Drama,Romance;Senol Sönmez
